,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,楼盘名称,区域,板块,细分板块,业态,具体业态,高层单价,小高层单价,洋房单价,叠墅单价,排屋单价,装修情况,面积段,高层面积段（最低）,高层面积段（最高）,高层总价段（最低）,高层总价段（最高）,土拍时间,首开时间,最新加推时间,售罄时间,交付时间,可售套数,加推套数,已售套数,库存套数,销售状态,建筑面积,容积率,楼幢,楼层,层高,楼面价,是否抬板,是否泳池会,物业费,是否限价
1,绿城·湖映金沙轩,钱塘区,下沙,金沙湖,高低配,高层+联排,38358,,,,66484,精装+毛坯,"高层129、139、169；
排屋299、335、400",129,169,495 ,648 ,2025/1/24,2025/6/29,2025/11/21,,2027/6/10,482,482,468,14,在售,12.85 ,2.1,10高8联,14-17,3.05-3.1,23444 ,否,是,4.8,否
2,绿城·月映金沙庭,钱塘区,下沙,金沙湖,高层,高层,38200,,,,,,120、126、139、155、178,120,178,458 ,680 ,2025/7/15,2025/12/22,2026/4/20,,2027/10/15,432,432,410,22,在售,10.58 ,2.3,9,16-24,3.05-3.1,16463 ,是,是,5.6,否
3,驭远&杰立·久映颂月,钱塘区,下沙,金沙湖,低密,排屋,,,,,72004,毛坯,"联排280-360；
排屋285、315、365",285,365,2052 ,2628 ,2024/1/26,2025/11/5,2025/3/30,,2026/12/31,36,36,6,30,在售,1.19 ,1.2,8,4,,31623 ,否,否,9.9,否
5,凯德·璟高府,钱塘区,下沙,高沙路,高层,高层,38300,,,,,,106/112/133/135/139/169,106,169,406 ,647 ,2022/6/30,2023/8/19,2023/12/5,,2026/1/31,471,471,,471,在售,6.58 ,2.5,11,14,3,21508 ,否,否,3.95,是
6,兴耀·青森,钱塘区,下沙,高沙路,高低配,高层+排屋,35499,,,,57110,精装+毛坯,"127、135、138；
排屋302、306",127,138,725 ,788 ,2025/3/18,2025/9/20,2025/11/2,,,114,114,113,1,在售,2.47 ,2,2高1排,17,3,20472 ,否,否,5.5,否
7,绿城&兴耀·下沙项目,钱塘区,下沙,高沙路,高低配,小高+叠排,,,,,,,,,,0 ,0 ,,,,,,,,,0,待售,3.11 ,1.48,6小高2叠,10,3.05,16514 ,否,否,,否
8,绿城蓝滨·金沙湖项目,钱塘区,下沙,高沙路,,,,,,,,,,,,0 ,0 ,,,,,,,,,0,待售,2.47 ,,,,,,,,,否
9,滨江兴耀·沐青云府,钱塘区,下沙,下沙工业园,高层,高层,,,,,,,100-139-166,,,0 ,0 ,2026/4/8,,,,2029/3/30,711,,,711,待售,15.55 ,2.14,高层,10,3,13396 ,否,是,4.2,否
10,建杭滨江钱投·潮映杭园,钱塘区,下沙,下沙工业园,高低配,高层+洋房+排屋,27441,,30896,,,,105、109、110、127、130、139,105,139,288 ,429 ,2025/4/28,2025/12/4,2026/6/14,,2027/12/31,649,479,189,460,在售,14.76 ,1.4,29高层、洋房、排屋,17,3,15001 ,否,是,3.5-5.6,否
11,云启钱湾二期(望潮),钱塘区,下沙,下沙工业园,低密,洋房+叠排+排屋,,,30977,38350,58507,,洋108、149；叠排208、213、220；联排；251、274、282、333,108,149,335 ,462 ,2025/5/13,2025/12/15,2026/6/7,,,571,420,165,406,在售,19.66 ,1.08,41,18,3,17255 ,否,是,3.95-9,否
12,绿城·鸣澜江上,钱塘区,下沙,下沙沿江,高层,高层,27999,,,,,,99、120、130,99,130,277 ,364 ,2025/10/28,2025/6/18,,,2028/6/30,396,176,0,396,在售,6.98 ,2.3,5,23,3,10500 ,是,是,3.3,否
13,圣奥·潮映望月府,钱塘区,下沙,下沙医药小镇,高层,高层,27593,,,,,,,89,132,0 ,0 ,2022/9/15,2023/9/28,2025/5/25,,2025/12/9,553,553,78,475,在售,9.31 ,2.3,8,16-26,3,12503 ,否,否,3.25,是
14,兴耀·沐芳洲,钱塘区,下沙,下沙医药小镇,高层,高层,25540,,,,,,89、95、103、118、115、132,89,132,227 ,337 ,2025/9/16,2025/12/25,2026/6/14,,2028/5/31,763,763,449,314,在售,12.88 ,2.1,14,14-26,3-3.15,9773 ,是,是,4.2,否
15,祥生·江山云樾府,钱塘区,下沙,大学城北,高层,高层,26200,,,,,,88、98、118、128,88,128,231 ,335 ,2020/7/7,2020/8/7,2023/6/27,,2023/12/30,,915,,0,,9.61 ,2.4,42,18-26,2.9,,否,否,2.75,否
,,,,,,,,,,,,,,,,0 ,0 ,,,,,,,,,0,,2.47 ,,,,,,,,,否
,,,,,,,,,,,,,,,,0 ,0 ,,,,,,,,,0,,2.47 ,,,,,,,,,否
,,,,,,,,,,,,,,,,0 ,0 ,,,,,,,,,0,,2.47 ,,,,,,,,,否
,,,,,,,,,,,,,,,,0 ,0 ,,,,,,,,,0,,2.47 ,,,,,,,,,否
